gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref	family	length	proteome
ltxA	A0A1V0RJM4	ROSMUCSMR3_00466	Roseovarius mucosus	CP020474	T1SS		predicted	10.1046/j.1365-2958.2000.02013.x	LtxA (Aggregatibacter leukotoxin)	1090	UP000192273
ltxA	A0A1Y0EEC6	LOKVESSMR4R_02417	Yoonia vestfoldensis	CP021431	T1SS	LOKVESSMR4R_02419	predicted	10.1046/j.1365-2958.2000.02013.x	LtxA (Aggregatibacter leukotoxin)	945	UP000195273
rtxA	A0AAW4H5S9	J0J18_02935	Vibrio vulnificus	JAFKOQ010000000	T1SS	J0J18_02950	predicted	10.1128/JB.187.10.3392-3399.2005	MARTX-Vv (V. vulnificus)	5206	UP000664056
paxA	Q9RCG8		Pasteurella aerogenes		T1SS		predicted	10.1111/j.1574-6976.2010.00231.x	PaxA (Pasteurella aerogenes exotoxin)	1049	
paxA	A0A077PRZ6	XBKB1_1810023	Xenorhabdus bovienii str. kraussei Becker Underwood	CBSZ01000000	T1SS	XBKB1_1810024	predicted	10.1111/j.1574-6976.2010.00231.x	PaxA (Pasteurella aerogenes exotoxin)	1089	UP000028493
paxA	W1J0W9	XCR1_180002	Xenorhabdus cabanillasii JM26	CBXE01000000	T1SS		predicted	10.1111/j.1574-6976.2010.00231.x	PaxA (Pasteurella aerogenes exotoxin)	1084	UP000019197
paxA	A0A1N6MX55	XIS1_190001	Xenorhabdus innexi	FTLG01000000	T1SS		predicted	10.1111/j.1574-6976.2010.00231.x	PaxA (Pasteurella aerogenes exotoxin)	1084	UP000196435
paxA	W1IVT9	XSR1_210052	Xenorhabdus szentirmaii DSM 16338	CBXF01000000	T1SS		predicted	10.1111/j.1574-6976.2010.00231.x	PaxA (Pasteurella aerogenes exotoxin)	1079	UP000019202
prtA	A0A379FIP7	NCTC11938_01756	Proteus mirabilis	UGTS01000000	T1SS		predicted	10.1016/S0021-9258(19)39849-9	PrtA (Erwinia metalloprotease)	138	UP000254191
prtA	A0AAX2HWP2	NCTC5923_00285	Yersinia pestis	UAVH01000000	T1SS		predicted	10.1016/S0021-9258(19)39849-9	PrtA (Erwinia metalloprotease)	444	UP000251879
prtA	A0ABP1ZF23	ERS008478_02440	Yersinia wautersii	CVMG01000000	T1SS		predicted	10.1016/S0021-9258(19)39849-9	PrtA (Erwinia metalloprotease)	444	UP000047420
prtC	A0A380Q2P6	NCTC8580_00135	Yersinia pseudotuberculosis	UHJC01000000	T1SS		predicted	10.1016/S0021-9258(19)39849-9	PrtC (Erwinia metalloprotease)	444	UP000255087
rsaA	A0A9W6GW11	LMG27198_29020	Methylocystis echinoides	BSEC01000000	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	1093	UP001144323
rsaA	A0A1G5SGK5	NSMM_480002	Nitrosomonas mobilis	FMWO01000000	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	999	UP000198729
rsaA	B4RCN7	PHZ_c1813	Phenylobacterium zucineum (strain HLK1)	CP000747	T1SS	PHZ_c0488	predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	802	UP000001868
rsaA	B6IS22	RC1_0827	Rhodospirillum centenum (strain ATCC 51521 / SW)	CP000613	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	1090	UP000001591
rsaA	A0A554WJQ5	Taqua_01718	Tepidimonas aquatica	VJNA01000000	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	958	UP000318554
rsaA	A0A4V2UW99	Tigna_01909	Tepidimonas ignava	SMAH01000000	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	1074	UP000295536
rsaA	A0A0S3PNT1	GJW-30_1_00087	Variibacter gotjawalensis	AP014946	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	461	UP000236884
rsaA	A0A6F8X996	HMEPL2_11570	Vreelandella aquamarina	AP022869	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	1132	UP000501053
rsaA	A0A1Y0EDM7	LOKVESSMR4R_02400	Yoonia vestfoldensis	CP021431	T1SS		predicted	10.1128/JB.180.12.3062-3069.1998	RsaA (Caulobacter S-layer)	761	UP000195273
rtxA	Q8KQ79		Vibrio cholerae		T1SS		predicted	10.1128/IAI.71.7.4205-4211.2003	RtxA (Vibrio cholerae MARTX)	66	
rtx	B5LMV1		Vibrio cholerae		T1SS		predicted	10.1128/IAI.71.7.4205-4211.2003	RtxA (Vibrio cholerae MARTX)	60	
LX70_03161	A0A2S8S527	LX70_03161	Albidovulum denitrificans	PVEP01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	705	UP000238338
QE207_15605	A0AA95K3M1	QE207_15605	Arsenophonus nasoniae (son-killer infecting Nasonia vitripennis)	CP123498	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	645	UP001177597
QE207_02510	A0AA95K143	QE207_02510	Arsenophonus nasoniae (son-killer infecting Nasonia vitripennis)	CP123498	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	534	UP001177597
Caul_4884	B0T558	Caul_4884	Caulobacter sp. (strain K31)		T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	727	
SAMN04488515_0620	A0A1I0NHG9	SAMN04488515_0620	Cognatiyoonia koreensis	FOIZ01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	741	UP000199167
SAMN04488095_3475	A0A1I3TKU3	SAMN04488095_3475	Jannaschia pohangensis	FORA01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	795	UP000199110
I2492_08190	A0A9D7FXG2	I2493_08190	Limnobaculum xujianqingii	JADRCP010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	880	UP000807542
aprA	A0A512J6L4	MOX02_36560	Methylobacterium oxalidis	BJZU01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	538	UP000321960
HNR00_000755	A0A840ZEF8	HNR00_000755	Methylorubrum rhodinum	JACHOP010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	553	UP000583454
FHR70_000995	A0A7W4VJJ7	FHR70_000995	Microvirga lupini	JACHWB010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	693	UP000532010
CKG00_09770	A0A433ZX14	CKG00_09770	Morganella morganii (Proteus morganii)	NRQY01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	484	UP000286908
MU9_1121	J7U8K5	MU9_1121	Morganella morganii subsp. morganii KT	CP004345	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	484	UP000011834
AYY17_06340	A0A1B8HA34	AYY17_06340	Morganella psychrotolerans	LZEX01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	484	UP000092247
F4V73_13010	A0A5M9R3B5	F4V73_13010	Morganella psychrotolerans	VXKB01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	484	UP000322181
OCH7691_01331	A0A1Y5S9L4	OCH7691_01331	Oceanibacterium hippocampi	FWFR01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	761	UP000193200
SAMN05444276_1011043	A0A1H2TQX6	SAMN05444276_1011043	Paracoccus sanguinis	FNNA01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	532	UP000182944
ACIPUP_19055	A0ABW8GIQ3	ACIPUP_19055	Pectobacterium actinidiae	JBIXLL010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	479	UP001617689
prtW	Q6D3F9	ECA2785	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	BX950851	T1SS	ECA2783	predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	469	UP000007966
F126LOC_012695	A0A433NGG5	H4F48_04810	Pectobacterium brasiliense	CP065031	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	476	UP000269351
prtW	Q9RB20		Pectobacterium carotovorum subsp. carotovorum (Erwinia carotovora subsp. carotovora)		T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	473	
TRP8649_00922	A0A238J8A7	TRP8649_00922	Pelagimonas phthalicica	FXXP01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	779	UP000225972
prtA	Q49GQ9		Photorhabdus temperata subsp. temperata		T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	483	
QSH02_13730	A0AAW7CUY6	QSH02_13730	Proteus faecis	JASVWL010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	599	UP001224739
AM402_18115	A0AAN1C3T3	AM402_18115	Proteus mirabilis	CP021694	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	687	UP000195540
GTH23_12325	A0ABX6JNK3	GTH23_12325	Proteus terrae subsp. cibarius	CP047340	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	599	UP000501338
aprA_1	A0A1G9VBQ5	SAMN04490179_0520	Pseudomonas antarctica	LT629704	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	577	UP000182470
ALO92_05301	A0A0P9MJ77	ALO92_05301	Pseudomonas congelans	LJQB01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	485	UP000050411
aprA_2	A0A120G0V1	PFL603g_02190	Pseudomonas fluorescens	LCYC01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	682	UP000063434
HNQ75_004054	A0A7W9Z116	HNQ75_004054	Pseudorhizobium flavum	JACHEJ010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	658	UP000535501
SAMN06295920_108214	A0A1T5F760	SAMN06295920_108214	Rhizorhabdus histidinilytica	FUYM01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	605	UP000189818
SAMN04488239_1271	A0A1G7ESN1	SAMN04488239_1271	Ruegeria marina	FMZV01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	465	UP000199628
PG27_01630	A0A5U3CWD8	PG27_01630	Salmonella diarizonae		T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	467	
S301_26790	A0A5U3FBD0	S301_26790	Salmonella enterica I	AAGLPX010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	467	UP000839575
DS524_26345	A0A5U8SYQ8	DS524_26345	Salmonella enterica subsp. enterica serovar Chester		T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	484	
DN310_23840	A0A5Y3N3G9	DN310_23840	Salmonella enterica subsp. salamae	AAIVAV010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	487	UP000839598
FOT62_04275	A0A5C7CHH5	FOT62_04275	Serratia marcescens	VOUQ01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	538	UP000321126
DKC05_02750	A0AB33FPK2	DKC05_02750	Serratia marcescens	CP029449	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	538	UP000245399
Serralysin	Q2VU40		Serratia proteamaculans		T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	504	
BXY66_3574	A0A4R1N8J9	BXY66_3574	Shimia isoporae	SMGR01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	681	UP000295673
SHM7688_00969	A0A0N7LRR2	SHM7688_00969	Shimia marina	CYPW01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	754	UP000054823
zapA	I3X675	USDA257_c28100	Sinorhizobium fredii (strain USDA 257)	CP003563	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	510	UP000006180
FHS94_002267	A0A7W9BEJ5	FHS94_002267	Sphingomonas aerophila	JACIJK010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	524	UP000546200
aprA	A0A245ZN06	SPDO_11270	Sphingomonas dokdonensis	NBBI01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	706	UP000197290
prtA	A0A1N6MT41	XIS1_1310038	Xenorhabdus innexi	FTLG01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	479	UP000196435
Xkoz_02553	A0A2D0L8Y6	Xkoz_02553	Xenorhabdus kozodoii	NJCX01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	477	UP000221101
Xmir_01766	A0A2D0JQN0	Xmir_02141	Xenorhabdus miraniensis	NITZ01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	477	UP000221980
Xsto_01097	A0A2D0KSV2	Xsto_01097	Xenorhabdus stockiae	NJAJ01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	479	UP000222366
prtC_3	A0A0T9N441	ERS008530_04640	Yersinia intermedia	CPZJ01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	483	UP000038750
QVN42_04910	A0AAW7K305	QVN42_04910	Yersinia nurmii	JAUEHU010000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	522	UP001167864
prtC_2	A0ABP1YAX8	ERS137967_01459	Yersinia nurmii	CPYD01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	481	UP000040578
p1	Q93RN3	NCTC10476_00614	Yersinia ruckeri	UHJG01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	477	UP000255169
BC777_0223	A0A2M8WKI9	BC777_0223	Yoonia maricola	PGTY01000000	T1SS		predicted	10.1128/jb.179.15.4754-4760.1997	Serralysin (Serratia/Erwinia metalloprotease)	548	UP000228531
siiE	A0A3T3IKP6	GB562_16045	Salmonella dublin	AAHSLO010000000	T1SS	G0B14_19660	predicted	10.1111/j.1462-5822.2007.01115.x	SiiE (Salmonella SPI-4 giant adhesin)	5559	UP000839890
siiE	A0A0C5PWK6	G4Y54_002410	Salmonella enterica subsp. enterica serovar Cerro	SRAQ01000000	T1SS	G4Y54_002411	predicted	10.1111/j.1462-5822.2007.01115.x	SiiE (Salmonella SPI-4 giant adhesin)	5560	UP000323452
siiE	A0A3V7BXX7	IL86_12590	Salmonella senftenberg	CP038593	T1SS	IL86_12585	predicted	10.1111/j.1462-5822.2007.01115.x	SiiE (Salmonella SPI-4 giant adhesin)	5561	UP000295223
siiE	H9L4L9	GB466_18325	Salmonella typhimurium	JYVU01000000	T1SS	SE14_04501	predicted	10.1111/j.1462-5822.2007.01115.x	SiiE (Salmonella SPI-4 giant adhesin)	5559	UP000054461
tliA	Q9ZG91		Pseudomonas fluorescens		T1SS		predicted	10.1046/j.1432-1327.1999.00697.x	TliA (Pseudomonas lipase)	476	
